3.064, 2.967, 0.0972, 36.9514, 0.0002 0.4648, 0.4340 
3.074, 2.976, 0.0975, 37.0489, 0.0002 0.4660, 0.4350 
3.084, 2.986, 0.0977, 37.1466, 0.0003 0.4673, 0.4360 
3.094, 2.996, 0.0980, 37.2446, 0.0002 0.4685, 0.4370 
3.104, 3.006, 0.0982, 37.3428, 0.0002 0.4696, 0.4378 
3.115, 3.015, 0.0993, 37.4421, 0.0012 0.4732, 0.4408 
3.125, 3.025, 0.0994, 37.5415, 0.0000 0.4737, 0.4412 
3.135, 3.035, 0.0995, 37.6410, 0.0001 0.4746, 0.4419 
3.145, 3.046, 0.0992, 37.7403, -0.0003 0.4745, 0.4418 
3.155, 3.056, 0.0989, 37.8392, -0.0003 0.4743, 0.4416 
3.165, 3.066, 0.0986, 37.9378, -0.0003 0.4741, 0.4415 
3.176, 3.076, 0.0994, 38.0372, 0.0008 0.4768, 0.4437 
3.186, 3.087, 0.0992, 38.1363, -0.0002 0.4767, 0.4436 
3.196, 3.097, 0.0989, 38.2352, -0.0002 0.4767, 0.4436 
3.207, 3.107, 0.0998, 38.3350, 0.0008 0.4796, 0.4459 
3.217, 3.117, 0.0996, 38.4346, -0.0002 0.4795, 0.4458 
3.227, 3.127, 0.1003, 38.5349, 0.0008 0.4822, 0.4480 
3.238, 3.137, 0.1006, 38.6355, 0.0002 0.4833, 0.4489 
3.248, 3.148, 0.1002, 38.7356, -0.0004 0.4828, 0.4484 
3.259, 3.158, 0.1007, 38.8364, 0.0006 0.4849, 0.4502 
3.269, 3.169, 0.1002, 38.9366, -0.0005 0.4841, 0.4496 
3.280, 3.179, 0.1007, 39.0373, 0.0005 0.4862, 0.4512 
3.291, 3.189, 0.1012, 39.1386, 0.0005 0.4880, 0.4526 
3.301, 3.200, 0.1007, 39.2393, -0.0006 0.4870, 0.4518 
3.312, 3.211, 0.1011, 39.3403, 0.0004 0.4888, 0.4533 
3.323, 3.221, 0.1015, 39.4418, 0.0004 0.4904, 0.4545 
3.333, 3.232, 0.1018, 39.5436, 0.0004 0.4919, 0.4557 
3.344, 3.242, 0.1018, 39.6455, -0.0000 0.4924, 0.4562 
3.355, 3.253, 0.1020, 39.7475, 0.0002 0.4936, 0.4571 
3.366, 3.264, 0.1022, 39.8497, 0.0001 0.4946, 0.4578 
3.377, 3.275, 0.1023, 39.9519, 0.0001 0.4954, 0.4585 
3.388, 3.286, 0.1023, 40.0543, 0.0000 0.4961, 0.4591 
3.399, 3.297, 0.1023, 40.1566, 0.0000 0.4968, 0.4596 
3.410, 3.307, 0.1023, 40.2589, 0.0000 0.4974, 0.4601 
3.421, 3.318, 0.1023, 40.3613, 0.0000 0.4980, 0.4606 
3.432, 3.329, 0.1024, 40.4636, 0.0000 0.4987, 0.4611 
3.443, 3.340, 0.1024, 40.5660, 0.0000 0.4994, 0.4616 
3.454, 3.351, 0.1024, 40.6684, -0.0000 0.5000, 0.4621 
3.465, 3.362, 0.1035, 40.7719, 0.0011 0.5035, 0.4648 
3.476, 3.373, 0.1035, 40.8754, 0.0000 0.5040, 0.4652 
3.487, 3.384, 0.1034, 40.9788, -0.0001 0.5044, 0.4656 
3.499, 3.395, 0.1043, 41.0830, 0.0009 0.5073, 0.4679 
3.510, 3.406, 0.1040, 41.1871, -0.0002 0.5072, 0.4677 
3.521, 3.417, 0.1037, 41.2908, -0.0003 0.5069, 0.4675 
3.533, 3.429, 0.1043, 41.3951, 0.0006 0.5093, 0.4694 
3.544, 3.440, 0.1040, 41.4991, -0.0004 0.5088, 0.4690 
3.556, 3.451, 0.1047, 41.6037, 0.0007 0.5115, 0.4711 
3.567, 3.463, 0.1042, 41.7080, -0.0004 0.5108, 0.4705 
3.579, 3.474, 0.1048, 41.8127, 0.0005 0.5129, 0.4722 
3.591, 3.486, 0.1052, 41.9180, 0.0005 0.5147, 0.4736 
3.602, 3.497, 0.1047, 42.0227, -0.0006 0.5137, 0.4728 
3.614, 3.509, 0.1050, 42.1277, 0.0004 0.5155, 0.4742 
3.626, 3.520, 0.1054, 42.2331, 0.0004 0.5170, 0.4754 
3.638, 3.532, 0.1058, 42.3389, 0.0003 0.5185, 0.4765 
3.650, 3.544, 0.1060, 42.4449, 0.0003 0.5197, 0.4775 
3.661, 3.555, 0.1055, 42.5504, -0.0005 0.5190, 0.4769 
3.673, 3.567, 0.1057, 42.6561, 0.0001 0.5201, 0.4778 
3.685, 3.579, 0.1058, 42.7619, 0.0001 0.5211, 0.4785 
3.697, 3.591, 0.1059, 42.8678, 0.0001 0.5221, 0.4793 
3.709, 3.603, 0.1061, 42.9739, 0.0001 0.5230, 0.4800 
3.721, 3.615, 0.1062, 43.0800, 0.0001 0.5240, 0.4807 
3.733, 3.626, 0.1063, 43.1863, 0.0001 0.5248, 0.4814 
3.746, 3.638, 0.1073, 43.2937, 0.0011 0.5283, 0.4841 
3.758, 3.650, 0.1073, 43.4010, -0.0000 0.5287, 0.4844 
3.769, 3.662, 0.1067, 43.5078, -0.0006 0.5278, 0.4837 
3.782, 3.674, 0.1076, 43.6153, 0.0008 0.5307, 0.4859 
3.794, 3.687, 0.1073, 43.7226, -0.0002 0.5306, 0.4859 
3.807, 3.699, 0.1080, 43.8307, 0.0007 0.5332, 0.4879 
3.819, 3.711, 0.1077, 43.9384, -0.0003 0.5328, 0.4875 
3.831, 3.723, 0.1073, 44.0457, -0.0004 0.5324, 0.4872 
3.844, 3.736, 0.1079, 44.1535, 0.0006 0.5347, 0.4890 
3.856, 3.748, 0.1075, 44.2610, -0.0004 0.5342, 0.4886 
3.868, 3.760, 0.1078, 44.3688, 0.0004 0.5359, 0.4899 
3.881, 3.773, 0.1085, 44.4773, 0.0006 0.5381, 0.4916 
3.894, 3.785, 0.1090, 44.5863, 0.0006 0.5402, 0.4932 
3.906, 3.798, 0.1085, 44.6948, -0.0005 0.5393, 0.4925 
3.919, 3.810, 0.1089, 44.8037, 0.0004 0.5411, 0.4938 
3.932, 3.823, 0.1092, 44.9130, 0.0004 0.5426, 0.4950 
3.945, 3.835, 0.1095, 45.0225, 0.0003 0.5440, 0.4960 
3.958, 3.848, 0.1097, 45.1322, 0.0002 0.5451, 0.4969 
3.971, 3.861, 0.1098, 45.2420, 0.0001 0.5459, 0.4974 
3.984, 3.874, 0.1098, 45.3518, 0.0000 0.5466, 0.4980 
3.997, 3.887, 0.1098, 45.4616, 0.0000 0.5473, 0.4985 
4.009, 3.900, 0.1098, 45.5714, 0.0000 0.5480, 0.4990 
4.022, 3.913, 0.1099, 45.6813, 0.0001 0.5488, 0.4996 
4.035, 3.925, 0.1100, 45.7913, 0.0001 0.5497, 0.5003 
4.048, 3.938, 0.1102, 45.9014, 0.0002 0.5508, 0.5011 
4.061, 3.951, 0.1104, 46.0118, 0.0002 0.5520, 0.5020 
4.075, 3.964, 0.1118, 46.1236, 0.0014 0.5564, 0.5053 
4.088, 3.976, 0.1120, 46.2356, 0.0002 0.5574, 0.5060 
4.101, 3.989, 0.1121, 46.3476, 0.0001 0.5583, 0.5067 
4.114, 4.002, 0.1121, 46.4597, 0.0000 0.5590, 0.5072 
4.128, 4.015, 0.1131, 46.5728, 0.0010 0.5623, 0.5097 
4.141, 4.028, 0.1130, 46.6858, -0.0001 0.5625, 0.5099 
4.155, 4.041, 0.1138, 46.7996, 0.0008 0.5655, 0.5120 
4.168, 4.054, 0.1136, 46.9131, -0.0002 0.5653, 0.5119 
